epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13499.8,0.69798,0.4971,0.00744,0.87131,0.91032,0.93004,0.8078,0.53256,0.39783,0.00889,0.000714485,0.000714485,0.000714485
43,13819.1,0.69034,0.47478,0.00735,0.87529,0.92327,0.91993,0.80232,0.52955,0.40476,0.00881,0.000697821,0.000697821,0.000697821
44,14135.9,0.69368,0.47462,0.00735,0.88481,0.90554,0.92339,0.79743,0.55943,0.40943,0.00934,0.000681022,0.000681022,0.000681022
45,14453,0.67713,0.47832,0.00721,0.8752,0.92788,0.92904,0.81499,0.53114,0.38566,0.00886,0.000664104,0.000664104,0.000664104
46,14771.5,0.66781,0.46276,0.00714,0.90089,0.89079,0.92539,0.81199,0.53004,0.40156,0.00886,0.000647085,0.000647085,0.000647085
47,15090.3,0.66163,0.44997,0.00707,0.87476,0.91451,0.91382,0.79213,0.53772,0.42368,0.00894,0.000629981,0.000629981,0.000629981
48,15408.5,0.64852,0.45911,0.00684,0.8625,0.92771,0.9232,0.80648,0.53082,0.41508,0.00888,0.000612809,0.000612809,0.000612809
49,15725.9,0.65894,0.45463,0.00701,0.89775,0.91429,0.92648,0.80709,0.53083,0.4034,0.00883,0.000595586,0.000595586,0.000595586
50,16042.9,0.65965,0.4405,0.00704,0.87708,0.92427,0.93163,0.81809,0.51159,0.39656,0.00852,0.000578329,0.000578329,0.000578329
51,16362.1,0.64958,0.44377,0.00697,0.88684,0.88554,0.90874,0.78935,0.53547,0.43383,0.00891,0.000561055,0.000561055,0.000561055
52,16678.7,0.6415,0.43176,0.00697,0.90126,0.89266,0.93214,0.82129,0.50765,0.42106,0.00846,0.000543781,0.000543781,0.000543781
53,16997.2,0.64272,0.43472,0.00687,0.90464,0.89725,0.92871,0.81354,0.52107,0.39138,0.00869,0.000526524,0.000526524,0.000526524
54,17315.2,0.63252,0.41445,0.00677,0.89927,0.88924,0.92733,0.81606,0.50856,0.40971,0.00847,0.000509301,0.000509301,0.000509301
55,17631.6,0.63255,0.4153,0.00676,0.8751,0.93506,0.93164,0.82056,0.51398,0.40189,0.00857,0.000492129,0.000492129,0.000492129
56,17948.8,0.63278,0.41743,0.00666,0.87245,0.91985,0.91194,0.80344,0.51652,0.44715,0.00861,0.000475025,0.000475025,0.000475025
57,18266.4,0.62811,0.41472,0.00662,0.88813,0.90715,0.93417,0.82244,0.50722,0.40239,0.00845,0.000458006,0.000458006,0.000458006
58,18583.2,0.60313,0.38613,0.0064,0.89717,0.90291,0.92878,0.82276,0.50842,0.41672,0.00846,0.000441088,0.000441088,0.000441088
59,18901.1,0.61743,0.40161,0.0066,0.89198,0.91188,0.92714,0.82014,0.50555,0.41429,0.00841,0.000424289,0.000424289,0.000424289
60,19218.6,0.5967,0.37608,0.0063,0.88502,0.90765,0.93237,0.82554,0.50171,0.4219,0.00835,0.000407625,0.000407625,0.000407625
61,19535.2,0.60328,0.38495,0.00648,0.88102,0.92053,0.92106,0.81908,0.49662,0.41072,0.00831,0.000391113,0.000391113,0.000391113
62,19852.5,0.6057,0.38411,0.00642,0.88782,0.90653,0.92108,0.81695,0.4953,0.43446,0.00824,0.000374768,0.000374768,0.000374768
63,20169.6,0.58792,0.37401,0.00626,0.90504,0.89828,0.92749,0.82202,0.50189,0.42646,0.00836,0.000358607,0.000358607,0.000358607
64,20485.7,0.5926,0.37836,0.00627,0.89,0.9101,0.92869,0.82356,0.4981,0.42333,0.00832,0.000342646,0.000342646,0.000342646
65,20802.6,0.59597,0.37201,0.00635,0.90885,0.89059,0.93555,0.83361,0.50475,0.41593,0.00843,0.0003269,0.0003269,0.0003269
66,21120.8,0.58276,0.35711,0.00611,0.90137,0.9012,0.92719,0.82632,0.49828,0.43485,0.00831,0.000311385,0.000311385,0.000311385
67,21437.1,0.58,0.35788,0.00609,0.8904,0.90405,0.9277,0.82416,0.50279,0.4322,0.00837,0.000296117,0.000296117,0.000296117
68,21752.9,0.58713,0.3588,0.00624,0.89505,0.91376,0.93163,0.82652,0.49729,0.43931,0.00827,0.00028111,0.00028111,0.00028111
69,22068.3,0.56909,0.34745,0.00605,0.89822,0.89597,0.92659,0.82727,0.49113,0.41929,0.00819,0.00026638,0.00026638,0.00026638
70,22385.1,0.57319,0.35605,0.0061,0.87326,0.92497,0.93071,0.82763,0.49255,0.42775,0.00818,0.00025194,0.00025194,0.00025194
71,22701.3,0.57245,0.35118,0.00613,0.88792,0.90808,0.92661,0.82453,0.49942,0.47378,0.00834,0.000237805,0.000237805,0.000237805
72,23017.1,0.56323,0.3454,0.00595,0.89655,0.89776,0.93005,0.82884,0.48788,0.43888,0.00813,0.00022399,0.00022399,0.00022399
73,23333.3,0.57304,0.34676,0.00602,0.871,0.93147,0.9307,0.82931,0.48868,0.42344,0.00814,0.000210507,0.000210507,0.000210507
74,23649.7,0.56623,0.33113,0.00597,0.905,0.89782,0.92929,0.83322,0.48058,0.43704,0.008,0.00019737,0.00019737,0.00019737
75,23966,0.55769,0.32409,0.00591,0.92295,0.89754,0.93274,0.8342,0.48413,0.43084,0.00806,0.000184592,0.000184592,0.000184592
76,24283.7,0.56588,0.336,0.00602,0.88935,0.9171,0.92838,0.83071,0.47942,0.44572,0.00797,0.000172185,0.000172185,0.000172185
77,24599.8,0.55216,0.32413,0.00581,0.90076,0.90567,0.92911,0.83312,0.4792,0.43635,0.00798,0.000160162,0.000160162,0.000160162
78,24914.4,0.55253,0.32415,0.00586,0.91333,0.8921,0.9302,0.8321,0.47986,0.45695,0.008,0.000148535,0.000148535,0.000148535
79,25231.1,0.54993,0.32575,0.00582,0.91259,0.88319,0.92438,0.82854,0.48026,0.45614,0.008,0.000137315,0.000137315,0.000137315
80,25547.4,0.54704,0.32493,0.00576,0.89297,0.89397,0.92338,0.8272,0.47996,0.46011,0.00801,0.000126513,0.000126513,0.000126513
81,25863.8,0.53902,0.30709,0.00571,0.89677,0.91296,0.92156,0.82523,0.48106,0.45255,0.00802,0.00011614,0.00011614,0.00011614
82,26179.1,0.54015,0.3115,0.00567,0.89828,0.90667,0.92215,0.82601,0.47803,0.46545,0.00797,0.000106206,0.000106206,0.000106206
83,26494.9,0.53782,0.3153,0.00568,0.89536,0.90845,0.9233,0.82766,0.47754,0.46563,0.00796,9.67211e-05,9.67211e-05,9.67211e-05
84,26810.4,0.53839,0.31251,0.0057,0.89339,0.90251,0.921,0.82485,0.48097,0.47129,0.00804,8.76942e-05,8.76942e-05,8.76942e-05
85,27126.7,0.53633,0.30232,0.00567,0.88753,0.90689,0.92234,0.82568,0.47799,0.4708,0.00798,7.91345e-05,7.91345e-05,7.91345e-05
86,27441.3,0.53028,0.29652,0.00566,0.90086,0.90153,0.9233,0.82853,0.47461,0.46351,0.00792,7.10504e-05,7.10504e-05,7.10504e-05
87,27756.9,0.52313,0.30043,0.00548,0.89305,0.90718,0.92316,0.82791,0.47567,0.46023,0.00794,6.34499e-05,6.34499e-05,6.34499e-05
88,28073,0.52428,0.30129,0.00558,0.88612,0.90907,0.92192,0.82656,0.4756,0.46905,0.00794,5.63404e-05,5.63404e-05,5.63404e-05
89,28388.7,0.52503,0.29751,0.00556,0.88432,0.92177,0.92261,0.82768,0.47461,0.46282,0.00792,4.97291e-05,4.97291e-05,4.97291e-05
90,28703.8,0.51892,0.28727,0.00553,0.89733,0.89935,0.92265,0.82789,0.47344,0.47225,0.0079,4.36223e-05,4.36223e-05,4.36223e-05
91,29020.9,0.45185,0.17338,0.00601,0.87535,0.92416,0.92626,0.82956,0.48024,0.45812,0.00801,3.80262e-05,3.80262e-05,3.80262e-05
92,29337,0.44952,0.17517,0.00591,0.89363,0.90861,0.92701,0.83131,0.47893,0.45796,0.00798,3.29463e-05,3.29463e-05,3.29463e-05
93,29652.9,0.44527,0.16583,0.00586,0.8807,0.92429,0.92688,0.82987,0.47922,0.45898,0.00799,2.83875e-05,2.83875e-05,2.83875e-05
94,29969.1,0.4429,0.17262,0.00591,0.88851,0.91428,0.92436,0.82871,0.4792,0.46025,0.00799,2.43545e-05,2.43545e-05,2.43545e-05
95,30283.1,0.44491,0.16532,0.00589,0.87746,0.92226,0.92421,0.82784,0.47976,0.46468,0.008,2.0851e-05,2.0851e-05,2.0851e-05
96,30599.3,0.44026,0.16444,0.0058,0.89192,0.90432,0.9224,0.82668,0.4791,0.46396,0.00799,1.78807e-05,1.78807e-05,1.78807e-05
97,30914.6,0.44005,0.16455,0.00585,0.88995,0.91582,0.92505,0.82866,0.47929,0.46119,0.008,1.54465e-05,1.54465e-05,1.54465e-05
98,31231.2,0.44044,0.16315,0.00579,0.898,0.91092,0.92559,0.82957,0.47884,0.46102,0.00799,1.35507e-05,1.35507e-05,1.35507e-05
99,31544.3,0.43874,0.16554,0.00586,0.89932,0.91278,0.92533,0.82847,0.4784,0.46577,0.00798,1.21952e-05,1.21952e-05,1.21952e-05
100,31861,0.43975,0.16683,0.0058,0.89712,0.91482,0.92411,0.82802,0.47934,0.46872,0.00798,1.13814e-05,1.13814e-05,1.13814e-05
