epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1203.55,0.57171,0.47784,1.02336,0.87163,0.90876,0.92768,0.82313,0.5022,0.43038,1.00767,0.000714485,0.000714485,0.000714485
43,1231.9,0.5802,0.50509,1.02503,0.87099,0.91463,0.92929,0.82764,0.48733,0.39867,1.00268,0.000697821,0.000697821,0.000697821
44,1260.57,0.58413,0.49575,1.02512,0.86572,0.90346,0.92688,0.82129,0.49832,0.4293,1.00481,0.000681022,0.000681022,0.000681022
45,1289.03,0.57338,0.46973,1.02037,0.85149,0.91301,0.91731,0.82141,0.48767,0.41988,0.99355,0.000664104,0.000664104,0.000664104
46,1317.66,0.56645,0.46865,1.02463,0.86165,0.91766,0.92596,0.82123,0.49991,0.44681,1.0123,0.000647085,0.000647085,0.000647085
47,1346.15,0.5736,0.46794,1.02223,0.88248,0.90048,0.92401,0.82071,0.49924,0.41968,0.99767,0.000629981,0.000629981,0.000629981
48,1374.53,0.56346,0.47101,1.02099,0.85709,0.90348,0.92394,0.82127,0.49632,0.42293,0.99616,0.000612809,0.000612809,0.000612809
49,1402.71,0.57425,0.4648,1.01748,0.88987,0.91448,0.93318,0.8333,0.48471,0.39936,0.9898,0.000595586,0.000595586,0.000595586
50,1431.45,0.57255,0.45677,1.02787,0.86544,0.90866,0.92546,0.82746,0.49312,0.43254,0.99627,0.000578329,0.000578329,0.000578329
51,1459.82,0.55167,0.4459,1.00635,0.88213,0.9153,0.93254,0.83494,0.48196,0.40553,0.99404,0.000561055,0.000561055,0.000561055
52,1488.59,0.57079,0.45701,1.01374,0.88943,0.87965,0.92724,0.82984,0.48131,0.4206,0.99385,0.000543781,0.000543781,0.000543781
53,1517.01,0.55387,0.43256,1.01422,0.86503,0.91778,0.9288,0.83127,0.47997,0.42224,0.98932,0.000526524,0.000526524,0.000526524
54,1545.58,0.55134,0.4471,1.014,0.88062,0.89236,0.92079,0.82315,0.48414,0.41872,0.98752,0.000509301,0.000509301,0.000509301
55,1574.1,0.5567,0.42884,1.0203,0.88896,0.91171,0.92704,0.83043,0.48893,0.41904,1.00202,0.000492129,0.000492129,0.000492129
56,1602.39,0.55102,0.42303,1.01051,0.86389,0.9072,0.92639,0.83066,0.48447,0.41371,0.98941,0.000475025,0.000475025,0.000475025
57,1630.82,0.52203,0.41324,0.98531,0.8633,0.91306,0.92697,0.83468,0.4739,0.39811,0.98762,0.000458006,0.000458006,0.000458006
58,1659.22,0.53609,0.42799,1.0024,0.85412,0.92658,0.92372,0.83341,0.4784,0.42323,0.99082,0.000441088,0.000441088,0.000441088
59,1687.55,0.54359,0.41948,1.00655,0.88819,0.90925,0.93037,0.83573,0.47549,0.3972,0.98347,0.000424289,0.000424289,0.000424289
60,1716.28,0.52699,0.40242,0.99384,0.89566,0.87689,0.91767,0.82735,0.47871,0.41648,0.98705,0.000407625,0.000407625,0.000407625
61,1744.85,0.53384,0.41633,0.9972,0.83716,0.92424,0.91567,0.8241,0.47661,0.44158,0.98638,0.000391113,0.000391113,0.000391113
62,1773.06,0.52664,0.40406,0.99499,0.88203,0.89653,0.91514,0.82282,0.47456,0.43958,0.98516,0.000374768,0.000374768,0.000374768
63,1801.46,0.52897,0.38898,1.00005,0.88581,0.89199,0.9238,0.82877,0.47909,0.41531,0.98569,0.000358607,0.000358607,0.000358607
64,1830.06,0.54049,0.41676,1.00051,0.87981,0.91262,0.92215,0.83266,0.47428,0.41868,0.98139,0.000342646,0.000342646,0.000342646
65,1858.6,0.5188,0.39857,0.98507,0.89087,0.88462,0.92046,0.82931,0.47648,0.43458,0.98147,0.0003269,0.0003269,0.0003269
66,1886.63,0.52263,0.38674,0.99832,0.88216,0.91181,0.92782,0.8354,0.47168,0.43266,0.98225,0.000311385,0.000311385,0.000311385
67,1915.05,0.52656,0.38706,1.0012,0.86048,0.92519,0.92976,0.83807,0.4674,0.41321,0.97992,0.000296117,0.000296117,0.000296117
68,1943.79,0.51025,0.37936,0.98879,0.86946,0.90507,0.92094,0.83622,0.46519,0.44489,0.97721,0.00028111,0.00028111,0.00028111
69,1972.35,0.51574,0.38448,0.98856,0.86511,0.89778,0.92332,0.83345,0.47282,0.43418,0.98409,0.00026638,0.00026638,0.00026638
70,2000.84,0.51425,0.37467,0.985,0.88149,0.91264,0.92787,0.83909,0.46795,0.41266,0.98359,0.00025194,0.00025194,0.00025194
71,2029.72,0.51506,0.36632,0.9941,0.88274,0.91948,0.92537,0.83572,0.46901,0.4254,0.97908,0.000237805,0.000237805,0.000237805
72,2058.37,0.50673,0.38646,0.99028,0.88864,0.90482,0.92726,0.83713,0.46799,0.4256,0.98254,0.00022399,0.00022399,0.00022399
73,2087.01,0.5109,0.37276,0.98503,0.90229,0.88869,0.92355,0.83614,0.4624,0.45331,0.97777,0.000210507,0.000210507,0.000210507
74,2115.13,0.50624,0.36286,0.9835,0.87264,0.91661,0.91839,0.83366,0.46441,0.4523,0.98226,0.00019737,0.00019737,0.00019737
75,2143.22,0.4962,0.34612,0.98339,0.87994,0.89921,0.92061,0.83295,0.46423,0.4495,0.98159,0.000184592,0.000184592,0.000184592
76,2171.69,0.49035,0.35921,0.97594,0.87451,0.89668,0.91682,0.82788,0.46488,0.45146,0.97964,0.000172185,0.000172185,0.000172185
