epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6989.67,0.63737,0.45013,0.00654,0.8935,0.90066,0.93381,0.82841,0.50279,0.38769,0.00838,0.000714485,0.000714485,0.000714485
43,7156.14,0.64906,0.45354,0.00672,0.85455,0.90373,0.91392,0.81478,0.49229,0.43189,0.00817,0.000697821,0.000697821,0.000697821
44,7321.08,0.6381,0.45352,0.00661,0.86092,0.91412,0.931,0.82335,0.49898,0.39536,0.00828,0.000681022,0.000681022,0.000681022
45,7487.48,0.62192,0.44497,0.00632,0.87886,0.92112,0.92985,0.81959,0.50424,0.37272,0.0084,0.000664104,0.000664104,0.000664104
46,7653.17,0.62671,0.42984,0.00644,0.87237,0.92609,0.93092,0.82601,0.50162,0.39796,0.00834,0.000647085,0.000647085,0.000647085
47,7819.3,0.6268,0.43225,0.00638,0.90494,0.91392,0.94058,0.84078,0.49782,0.3817,0.00824,0.000629981,0.000629981,0.000629981
48,7985.24,0.62414,0.41835,0.00635,0.89006,0.9064,0.92651,0.82285,0.49852,0.40508,0.00829,0.000612809,0.000612809,0.000612809
49,8151.12,0.62956,0.42809,0.00646,0.89571,0.91306,0.93787,0.8347,0.49404,0.37143,0.00821,0.000595586,0.000595586,0.000595586
50,8317.04,0.60446,0.40502,0.00628,0.91524,0.91025,0.93864,0.83358,0.49339,0.36555,0.00818,0.000578329,0.000578329,0.000578329
51,8482.92,0.60306,0.40621,0.00623,0.86633,0.90693,0.93353,0.83383,0.48082,0.41161,0.00799,0.000561055,0.000561055,0.000561055
52,8649.27,0.60273,0.414,0.00626,0.89789,0.91857,0.9383,0.83365,0.48511,0.3948,0.00806,0.000543781,0.000543781,0.000543781
53,8815.03,0.59282,0.39862,0.00608,0.88603,0.92079,0.93684,0.84013,0.47753,0.40118,0.00792,0.000526524,0.000526524,0.000526524
54,8981.01,0.58278,0.39746,0.00596,0.87991,0.90827,0.93926,0.83887,0.48173,0.38791,0.00802,0.000509301,0.000509301,0.000509301
55,9146.89,0.59521,0.38481,0.00613,0.8707,0.90751,0.93482,0.83842,0.47284,0.37768,0.00789,0.000492129,0.000492129,0.000492129
56,9312.9,0.58594,0.3896,0.00602,0.85488,0.92302,0.93676,0.83269,0.48653,0.40852,0.00809,0.000475025,0.000475025,0.000475025
57,9478.59,0.58607,0.3713,0.006,0.90672,0.90647,0.93825,0.83811,0.48776,0.38826,0.00813,0.000458006,0.000458006,0.000458006
