epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0657,0.96122,3.62657,0.00997,0.63293,0.8211,0.80798,0.58817,0.97593,1.17049,0.01598,0.000368627,0.000368627,0.000368627
2,115.645,1.01387,1.091,0.01044,0.78442,0.80665,0.81601,0.63818,0.78292,0.85724,0.0128,0.00073878,0.00073878,0.00073878
3,170.724,0.98333,0.94686,0.0101,0.84401,0.76444,0.82906,0.63289,0.76252,0.80181,0.01249,0.00110821,0.00110821,0.00110821
4,224.83,0.9479,0.83734,0.00982,0.85244,0.82113,0.87034,0.69787,0.6999,0.60926,0.01147,0.00110856,0.00110856,0.00110856
5,279.295,0.91505,0.78667,0.00917,0.81255,0.82902,0.83963,0.67836,0.70988,0.64471,0.01159,0.00110666,0.00110666,0.00110666
6,332.838,0.90741,0.75246,0.0093,0.80392,0.76043,0.85426,0.69452,0.66294,0.63215,0.01077,0.00110423,0.00110423,0.00110423
7,386.371,0.86074,0.73705,0.00884,0.81046,0.82884,0.86819,0.69416,0.70638,0.64,0.01168,0.00110126,0.00110126,0.00110126
8,439.904,0.84546,0.73702,0.00866,0.84066,0.85144,0.88422,0.73637,0.65135,0.53311,0.01061,0.00109776,0.00109776,0.00109776
9,494.372,0.83362,0.67266,0.00866,0.8732,0.83027,0.8826,0.71629,0.69405,0.56045,0.01132,0.00109372,0.00109372,0.00109372
10,548.252,0.8224,0.6834,0.00847,0.84019,0.86899,0.87703,0.7236,0.62008,0.49634,0.01006,0.00108916,0.00108916,0.00108916
11,601.507,0.81866,0.68772,0.00826,0.83382,0.87225,0.88597,0.72058,0.67056,0.53204,0.01087,0.00108408,0.00108408,0.00108408
12,655.727,0.81201,0.69184,0.00827,0.86177,0.88821,0.89791,0.73249,0.69255,0.48385,0.01133,0.00107849,0.00107849,0.00107849
13,709.157,0.77852,0.62027,0.00811,0.87101,0.86461,0.88476,0.74615,0.58279,0.47215,0.0095,0.00107238,0.00107238,0.00107238
14,763.347,0.78677,0.62198,0.0082,0.84424,0.89619,0.89358,0.75583,0.57587,0.47885,0.00936,0.00106577,0.00106577,0.00106577
15,817.407,0.76726,0.61148,0.0079,0.8548,0.87051,0.90418,0.77122,0.57535,0.47041,0.00933,0.00105866,0.00105866,0.00105866
16,871.608,0.78447,0.64022,0.00793,0.85725,0.88552,0.89325,0.75556,0.62667,0.4589,0.01026,0.00105106,0.00105106,0.00105106
17,925.259,0.7253,0.59187,0.00735,0.84832,0.86335,0.89547,0.76528,0.56093,0.51279,0.00911,0.00104298,0.00104298,0.00104298
18,979.132,0.74027,0.5969,0.0075,0.85301,0.87214,0.88637,0.75262,0.55524,0.49418,0.00907,0.00103442,0.00103442,0.00103442
19,1032.21,0.7375,0.56183,0.00764,0.88714,0.86696,0.90817,0.77769,0.55808,0.43038,0.00907,0.00102539,0.00102539,0.00102539
20,1085.84,0.73499,0.58307,0.00737,0.81336,0.8875,0.88858,0.76327,0.56023,0.49776,0.00907,0.0010159,0.0010159,0.0010159
21,1139.44,0.72895,0.56539,0.00729,0.87105,0.89328,0.90419,0.78113,0.54298,0.43133,0.00887,0.00100597,0.00100597,0.00100597
22,1193.4,0.72451,0.54585,0.00732,0.832,0.8858,0.87953,0.74937,0.55574,0.4614,0.00899,0.000995597,0.000995597,0.000995597
23,1247.21,0.72618,0.55906,0.00742,0.82303,0.86019,0.89468,0.75943,0.57257,0.5074,0.00934,0.000984795,0.000984795,0.000984795
24,1300.71,0.7103,0.55127,0.00723,0.83434,0.89626,0.90516,0.77799,0.53384,0.44617,0.00868,0.000973575,0.000973575,0.000973575
25,1354.36,0.7081,0.55112,0.00707,0.89543,0.86577,0.9134,0.7921,0.52509,0.39992,0.00856,0.000961948,0.000961948,0.000961948
26,1408.72,0.69944,0.55413,0.00709,0.8366,0.87189,0.87782,0.74796,0.57003,0.51725,0.00928,0.000949925,0.000949925,0.000949925
27,1462.25,0.71425,0.55126,0.00721,0.879,0.88741,0.91799,0.79388,0.53875,0.43173,0.00876,0.000937518,0.000937518,0.000937518
