epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.46,0.94164,3.70996,0.0099,0.73798,0.83361,0.81548,0.62847,0.82232,1.06351,0.01365,0.00036948,0.00036948,0.00036948
2,209.707,1.01439,1.07819,0.01063,0.74879,0.83134,0.82849,0.59121,0.88057,0.76234,0.01511,0.000739633,0.000739633,0.000739633
3,309.861,1.01488,0.95642,0.0107,0.82538,0.81172,0.8618,0.66815,0.75243,0.65986,0.01273,0.00110906,0.00110906,0.00110906
4,409.877,0.98347,0.89359,0.01032,0.85435,0.83336,0.86355,0.67876,0.81416,0.59481,0.01387,0.00110856,0.00110856,0.00110856
5,511.083,0.93548,0.82578,0.00973,0.81449,0.78933,0.84478,0.67829,0.76681,0.68664,0.01317,0.00110666,0.00110666,0.00110666
6,610.424,0.90213,0.81513,0.00941,0.80882,0.83889,0.86505,0.71241,0.68124,0.59016,0.01146,0.00110423,0.00110423,0.00110423
7,710.394,0.87347,0.79824,0.00905,0.78445,0.86554,0.87077,0.71513,0.66743,0.58127,0.01126,0.00110126,0.00110126,0.00110126
8,811.211,0.87,0.73127,0.009,0.8644,0.87163,0.89717,0.74348,0.65335,0.50295,0.01104,0.00109776,0.00109776,0.00109776
9,912.901,0.8454,0.72489,0.00866,0.87152,0.83495,0.89419,0.73691,0.6551,0.49267,0.01099,0.00109372,0.00109372,0.00109372
10,1013.53,0.83892,0.7024,0.00864,0.81273,0.85753,0.85172,0.69672,0.67737,0.57819,0.01142,0.00108916,0.00108916,0.00108916
11,1114.52,0.82847,0.6585,0.00854,0.81593,0.85784,0.87383,0.72711,0.6325,0.55541,0.01072,0.00108408,0.00108408,0.00108408
12,1215.04,0.81586,0.70976,0.00837,0.80703,0.88513,0.8811,0.74166,0.59371,0.48568,0.00997,0.00107849,0.00107849,0.00107849
13,1314.02,0.78684,0.66734,0.00805,0.8478,0.85184,0.89373,0.74204,0.62536,0.49433,0.01046,0.00107238,0.00107238,0.00107238
14,1414.48,0.79504,0.65217,0.00803,0.82684,0.85716,0.87002,0.72399,0.60686,0.50487,0.01027,0.00106577,0.00106577,0.00106577
15,1515.08,0.77952,0.63417,0.00795,0.83246,0.90253,0.89407,0.74485,0.64107,0.49547,0.01075,0.00105866,0.00105866,0.00105866
