group,images,instances,area_min,area_max,precision,recall,map50,map50_95,class_instance_counts
small,286,299,0.045463559136,0.10367955832499999,0.8832552951809383,0.8944332896366094,0.9099773302305012,0.8480801578233028,0:81;1:149;2:29;3:21;4:19
medium,286,297,0.10368438147100001,0.11868047312100001,0.9307323828061387,0.927851574500768,0.9646529836577848,0.8773308936275231,0:64;1:155;2:32;3:25;4:21
large,286,301,0.118681548384,0.27189644025,0.8702263316716378,0.9399180988184748,0.9356372821268544,0.8152664990976679,0:49;1:160;2:57;3:20;4:15
