epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7032.23,0.58581,0.16916,0.00606,0.87731,0.91106,0.92444,0.81573,0.48317,0.12946,0.00801,0.000714485,0.000714485,0.000714485
43,7198.1,0.59547,0.16714,0.00625,0.88182,0.90406,0.92822,0.81549,0.49712,0.13499,0.00831,0.000697821,0.000697821,0.000697821
44,7364.42,0.58815,0.16771,0.00617,0.88398,0.88586,0.93301,0.82154,0.48873,0.13258,0.00809,0.000681022,0.000681022,0.000681022
45,7530.99,0.57364,0.16012,0.00594,0.88144,0.91172,0.93408,0.82017,0.48552,0.12903,0.00807,0.000664104,0.000664104,0.000664104
46,7696.6,0.57269,0.16245,0.00599,0.87866,0.90964,0.93009,0.82154,0.48116,0.13801,0.00798,0.000647085,0.000647085,0.000647085
47,7862.47,0.5746,0.17638,0.00599,0.85951,0.90079,0.92321,0.82208,0.46768,0.14428,0.00775,0.000629981,0.000629981,0.000629981
48,8028.83,0.56837,0.15814,0.00586,0.86619,0.8985,0.92789,0.82051,0.48567,0.14327,0.00804,0.000612809,0.000612809,0.000612809
49,8195.07,0.56769,0.16425,0.00596,0.86654,0.92196,0.93788,0.82944,0.47372,0.13182,0.00787,0.000595586,0.000595586,0.000595586
50,8360.72,0.55826,0.15248,0.00586,0.9113,0.88299,0.9357,0.82635,0.48206,0.13275,0.00799,0.000578329,0.000578329,0.000578329
51,8527.27,0.55062,0.1574,0.00582,0.87391,0.90688,0.93003,0.82749,0.47267,0.1253,0.00785,0.000561055,0.000561055,0.000561055
52,8693.38,0.54994,0.15731,0.00582,0.89523,0.91332,0.94049,0.83238,0.48183,0.12903,0.00801,0.000543781,0.000543781,0.000543781
53,8860.19,0.54794,0.15634,0.00574,0.89242,0.88942,0.93055,0.82939,0.4665,0.13964,0.00775,0.000526524,0.000526524,0.000526524
54,9026.76,0.54183,0.15098,0.0057,0.86839,0.91328,0.92085,0.81749,0.47595,0.15978,0.00791,0.000509301,0.000509301,0.000509301
55,9198.01,0.55073,0.1505,0.00579,0.88044,0.92156,0.93885,0.83199,0.47072,0.13735,0.00782,0.000492129,0.000492129,0.000492129
56,9369.22,0.54088,0.14596,0.00562,0.89264,0.90765,0.93747,0.83295,0.46583,0.1424,0.00773,0.000475025,0.000475025,0.000475025
57,9540.8,0.53465,0.13766,0.00558,0.90134,0.8916,0.93537,0.82777,0.46597,0.14701,0.00776,0.000458006,0.000458006,0.000458006
58,9712.33,0.5329,0.13016,0.00552,0.86351,0.91922,0.93485,0.82388,0.47743,0.15063,0.00796,0.000441088,0.000441088,0.000441088
59,9883.3,0.52635,0.14062,0.00549,0.86175,0.92934,0.93475,0.8313,0.47365,0.14041,0.00785,0.000424289,0.000424289,0.000424289
60,10054.6,0.52653,0.13515,0.00548,0.87143,0.92143,0.93419,0.82295,0.46931,0.14516,0.0078,0.000407625,0.000407625,0.000407625
61,10223.9,0.52112,0.13536,0.00542,0.89586,0.90414,0.92966,0.827,0.46759,0.13842,0.00779,0.000391113,0.000391113,0.000391113
62,10395.7,0.52193,0.13349,0.00547,0.90573,0.90323,0.93301,0.82602,0.46817,0.15525,0.00781,0.000374768,0.000374768,0.000374768
63,10567.1,0.52523,0.12831,0.00549,0.90054,0.91487,0.93401,0.83059,0.46499,0.15103,0.00772,0.000358607,0.000358607,0.000358607
64,10738.9,0.50756,0.13155,0.00532,0.87884,0.92504,0.93362,0.8292,0.46554,0.15568,0.00774,0.000342646,0.000342646,0.000342646
65,10909.4,0.51376,0.13483,0.00543,0.91991,0.89064,0.9413,0.83043,0.47308,0.13805,0.00787,0.0003269,0.0003269,0.0003269
66,11080.8,0.50541,0.12745,0.00526,0.91451,0.89368,0.93644,0.82712,0.47045,0.16364,0.0078,0.000311385,0.000311385,0.000311385
67,11249.6,0.50329,0.12274,0.00522,0.88305,0.90949,0.9386,0.83331,0.46721,0.14404,0.00777,0.000296117,0.000296117,0.000296117
68,11420.8,0.5016,0.11808,0.00526,0.89573,0.90871,0.93101,0.82674,0.47183,0.18002,0.00785,0.00028111,0.00028111,0.00028111
69,11591.6,0.49064,0.11341,0.00515,0.92839,0.88865,0.93895,0.83465,0.46837,0.14778,0.00778,0.00026638,0.00026638,0.00026638
70,11763.5,0.4904,0.11723,0.00511,0.90767,0.90175,0.9381,0.83517,0.46421,0.15515,0.00769,0.00025194,0.00025194,0.00025194
71,11935,0.48312,0.1165,0.00508,0.90497,0.89677,0.93692,0.83105,0.46426,0.16404,0.00771,0.000237805,0.000237805,0.000237805
72,12106,0.48121,0.11104,0.005,0.89463,0.92198,0.93634,0.83126,0.46373,0.16536,0.00771,0.00022399,0.00022399,0.00022399
73,12277.9,0.47919,0.11679,0.00491,0.88483,0.90785,0.92899,0.8253,0.46289,0.1684,0.00769,0.000210507,0.000210507,0.000210507
74,12449.2,0.47528,0.11548,0.00492,0.89582,0.91059,0.93843,0.83479,0.46095,0.1668,0.00765,0.00019737,0.00019737,0.00019737
75,12620.4,0.47696,0.10937,0.005,0.90767,0.91246,0.93649,0.83203,0.46108,0.17372,0.00765,0.000184592,0.000184592,0.000184592
76,12791.2,0.47767,0.11153,0.00494,0.89515,0.91447,0.9327,0.82812,0.46407,0.16962,0.00771,0.000172185,0.000172185,0.000172185
77,12962.6,0.46887,0.10893,0.00488,0.90441,0.90501,0.93656,0.82942,0.46307,0.17336,0.0077,0.000160162,0.000160162,0.000160162
78,13134.1,0.46546,0.11011,0.00482,0.90562,0.91102,0.93792,0.83119,0.46591,0.16328,0.00774,0.000148535,0.000148535,0.000148535
79,13305.8,0.46147,0.10703,0.00475,0.91431,0.89231,0.93341,0.82847,0.46359,0.16745,0.00769,0.000137315,0.000137315,0.000137315
80,13477.3,0.45889,0.10495,0.00482,0.89578,0.92366,0.92989,0.8246,0.46634,0.18789,0.00774,0.000126513,0.000126513,0.000126513
81,13647.1,0.44985,0.10253,0.0047,0.91306,0.90319,0.93484,0.82928,0.4654,0.17175,0.00773,0.00011614,0.00011614,0.00011614
82,13818.3,0.45409,0.0966,0.00469,0.90961,0.89932,0.93236,0.82564,0.4654,0.18626,0.00772,0.000106206,0.000106206,0.000106206
83,13989.1,0.45291,0.09672,0.00467,0.90227,0.90592,0.93308,0.82319,0.4679,0.18232,0.00777,9.67211e-05,9.67211e-05,9.67211e-05
84,14159.9,0.449,0.09831,0.00468,0.89714,0.90795,0.93311,0.82302,0.4725,0.19113,0.00787,8.76942e-05,8.76942e-05,8.76942e-05
85,14331,0.44722,0.09382,0.00462,0.89684,0.91379,0.93318,0.82364,0.46747,0.18451,0.00778,7.91345e-05,7.91345e-05,7.91345e-05
86,14501.4,0.44827,0.09702,0.00471,0.90024,0.91232,0.92923,0.82187,0.46787,0.19302,0.00778,7.10504e-05,7.10504e-05,7.10504e-05
87,14672.4,0.44514,0.09437,0.00459,0.9065,0.904,0.93117,0.82626,0.46346,0.19259,0.0077,6.34499e-05,6.34499e-05,6.34499e-05
88,14841.7,0.44108,0.09175,0.00458,0.89775,0.91121,0.93086,0.82524,0.46955,0.1963,0.00781,5.63404e-05,5.63404e-05,5.63404e-05
89,15012.1,0.4419,0.09518,0.0046,0.90568,0.90999,0.9315,0.82524,0.46452,0.19891,0.00772,4.97291e-05,4.97291e-05,4.97291e-05
90,15182.4,0.43829,0.09436,0.00459,0.9034,0.90694,0.93239,0.82532,0.46421,0.19331,0.00772,4.36223e-05,4.36223e-05,4.36223e-05
91,15354.9,0.39253,0.02404,0.00517,0.91935,0.88602,0.93023,0.82442,0.47125,0.19543,0.00785,3.80262e-05,3.80262e-05,3.80262e-05
92,15525.9,0.38857,0.02152,0.0051,0.90281,0.90022,0.92648,0.82258,0.46785,0.20663,0.00777,3.29463e-05,3.29463e-05,3.29463e-05
93,15697.5,0.38313,0.0219,0.00501,0.9066,0.90278,0.92665,0.82189,0.46792,0.21441,0.00777,2.83875e-05,2.83875e-05,2.83875e-05
94,15868.4,0.38169,0.02123,0.00502,0.90671,0.90063,0.92704,0.822,0.46895,0.21033,0.00779,2.43545e-05,2.43545e-05,2.43545e-05
95,16039.6,0.38084,0.01956,0.00505,0.91181,0.89666,0.9277,0.82285,0.46906,0.20971,0.0078,2.0851e-05,2.0851e-05,2.0851e-05
96,16210.8,0.37767,0.02071,0.00497,0.90711,0.89952,0.92558,0.82002,0.46864,0.21232,0.00778,1.78807e-05,1.78807e-05,1.78807e-05
97,16380.2,0.37658,0.01952,0.00494,0.91855,0.88927,0.92519,0.81975,0.46833,0.21467,0.00778,1.54465e-05,1.54465e-05,1.54465e-05
98,16549.6,0.37379,0.01996,0.00489,0.91578,0.88699,0.92408,0.81892,0.46879,0.21747,0.00778,1.35507e-05,1.35507e-05,1.35507e-05
99,16719.9,0.37143,0.01758,0.00494,0.91521,0.89205,0.92354,0.81823,0.46759,0.2223,0.00776,1.21952e-05,1.21952e-05,1.21952e-05
100,16889.3,0.37553,0.01932,0.00494,0.91439,0.89566,0.92324,0.81718,0.46821,0.22327,0.00778,1.13814e-05,1.13814e-05,1.13814e-05
