epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.922,0.99081,2.16236,0.0107,0.59686,0.73279,0.64522,0.48933,0.8494,1.2381,0.01403,0.000369907,0.000369907,0.000369907
2,305.864,1.08958,1.07132,0.01158,0.71942,0.8082,0.76281,0.56689,0.92069,1.01862,0.01514,0.000740059,0.000740059,0.000740059
3,455.034,1.09981,1.00596,0.01173,0.81354,0.79233,0.80521,0.63407,0.78909,0.71467,0.01293,0.00110949,0.00110949,0.00110949
4,604.34,1.04927,0.95913,0.01132,0.78647,0.84015,0.82359,0.61184,0.90216,0.69702,0.01479,0.00110856,0.00110856,0.00110856
5,750.965,1.02649,0.91141,0.01093,0.78614,0.84861,0.84675,0.66814,0.77894,0.61596,0.01279,0.00110666,0.00110666,0.00110666
6,898.746,0.98874,0.86831,0.01044,0.76258,0.81524,0.83312,0.65557,0.74207,0.66526,0.01219,0.00110423,0.00110423,0.00110423
7,1045.49,0.96043,0.83755,0.01013,0.80396,0.86032,0.85601,0.65432,0.79605,0.57263,0.01318,0.00110126,0.00110126,0.00110126
8,1192.53,0.96513,0.78844,0.0102,0.78739,0.82328,0.83613,0.67453,0.76021,0.66164,0.01259,0.00109776,0.00109776,0.00109776
9,1340.89,0.91191,0.73455,0.00955,0.83893,0.85884,0.87494,0.71215,0.67854,0.55964,0.01111,0.00109372,0.00109372,0.00109372
10,1488.98,0.91,0.73858,0.00955,0.80771,0.87979,0.85617,0.69607,0.69889,0.55315,0.0114,0.00108916,0.00108916,0.00108916
11,1636.64,0.86584,0.6861,0.00893,0.82653,0.81771,0.8419,0.6833,0.68592,0.61962,0.01123,0.00108408,0.00108408,0.00108408
12,1783.48,0.87183,0.67922,0.00907,0.77252,0.88273,0.87536,0.70511,0.71748,0.55489,0.01176,0.00107849,0.00107849,0.00107849
13,1929.75,0.85249,0.70466,0.00878,0.81524,0.84185,0.87886,0.7297,0.63084,0.54,0.01032,0.00107238,0.00107238,0.00107238
14,2079.59,0.84268,0.69235,0.00871,0.80376,0.82693,0.86016,0.721,0.64195,0.5354,0.01048,0.00106577,0.00106577,0.00106577
15,2227.54,0.84559,0.65858,0.00875,0.84294,0.87455,0.89298,0.74113,0.63495,0.49474,0.01041,0.00105866,0.00105866,0.00105866
16,2375.07,0.80576,0.66395,0.00833,0.85393,0.84284,0.87808,0.73556,0.61374,0.51053,0.01001,0.00105106,0.00105106,0.00105106
17,2522.09,0.82391,0.64099,0.00845,0.83789,0.889,0.88434,0.73891,0.60078,0.4829,0.00981,0.00104298,0.00104298,0.00104298
18,2669.95,0.79117,0.62531,0.00827,0.83766,0.85639,0.88247,0.73855,0.60213,0.47481,0.00986,0.00103442,0.00103442,0.00103442
19,2817.68,0.80097,0.59714,0.00834,0.80796,0.88746,0.88304,0.74657,0.63382,0.516,0.01038,0.00102539,0.00102539,0.00102539
20,2966.09,0.78779,0.62199,0.00829,0.86968,0.86305,0.89901,0.74613,0.63223,0.48651,0.01032,0.0010159,0.0010159,0.0010159
21,3112.97,0.78096,0.58966,0.0081,0.84743,0.86834,0.88222,0.75192,0.58001,0.48017,0.00945,0.00100597,0.00100597,0.00100597
22,3262.86,0.77692,0.57803,0.00806,0.83654,0.87557,0.88898,0.74051,0.62937,0.50442,0.0102,0.000995597,0.000995597,0.000995597
23,3412.31,0.7772,0.60611,0.00807,0.88024,0.87857,0.89306,0.7537,0.59296,0.44208,0.00969,0.000984795,0.000984795,0.000984795
24,3560.39,0.7686,0.58617,0.008,0.84687,0.90097,0.89655,0.74873,0.61292,0.45678,0.01006,0.000973575,0.000973575,0.000973575
25,3707.99,0.75115,0.57322,0.00774,0.88116,0.86892,0.89731,0.74656,0.6232,0.48523,0.01024,0.000961948,0.000961948,0.000961948
26,3855.74,0.74973,0.57698,0.00775,0.88326,0.894,0.90025,0.77298,0.55322,0.44217,0.00902,0.000949925,0.000949925,0.000949925
27,4005.59,0.74266,0.54612,0.00773,0.85789,0.91293,0.90661,0.77932,0.54593,0.4224,0.00891,0.000937518,0.000937518,0.000937518
28,4155.33,0.73753,0.53807,0.00748,0.86883,0.87355,0.88896,0.75784,0.57773,0.47262,0.00947,0.00092474,0.00092474,0.00092474
29,4301.83,0.72864,0.5675,0.00752,0.82767,0.87281,0.89605,0.76825,0.57222,0.51297,0.00941,0.000911603,0.000911603,0.000911603
30,4450.3,0.71693,0.53433,0.00736,0.84867,0.86885,0.87706,0.74643,0.58397,0.50637,0.00957,0.00089812,0.00089812,0.00089812
31,4598.56,0.72462,0.53925,0.00749,0.85191,0.90629,0.90054,0.77497,0.56733,0.43154,0.00923,0.000884305,0.000884305,0.000884305
32,4745.79,0.71286,0.51694,0.00728,0.8809,0.89131,0.91709,0.79359,0.5368,0.42491,0.00873,0.00087017,0.00087017,0.00087017
33,4894.93,0.71196,0.52354,0.00726,0.86434,0.89263,0.9123,0.78748,0.55001,0.42363,0.00891,0.00085573,0.00085573,0.00085573
34,5042.96,0.69382,0.52856,0.00704,0.85526,0.88411,0.89274,0.77746,0.54132,0.47589,0.00883,0.000841,0.000841,0.000841
35,5191.13,0.706,0.51025,0.00725,0.81686,0.89723,0.90988,0.79583,0.54722,0.46744,0.00894,0.000825993,0.000825993,0.000825993
36,5341,0.69345,0.50382,0.00708,0.83619,0.88911,0.91502,0.80073,0.5273,0.46799,0.00858,0.000810725,0.000810725,0.000810725
37,5490.27,0.68094,0.49053,0.00698,0.8661,0.89886,0.9168,0.80052,0.54437,0.41457,0.00886,0.00079521,0.00079521,0.00079521
38,5640.26,0.67546,0.48617,0.00694,0.8567,0.90486,0.90813,0.79602,0.54582,0.44238,0.00889,0.000779464,0.000779464,0.000779464
39,5789.85,0.67293,0.47333,0.00686,0.86948,0.88261,0.91117,0.79812,0.52338,0.43706,0.00849,0.000763503,0.000763503,0.000763503
40,5938.25,0.66355,0.46583,0.00673,0.86895,0.91817,0.9178,0.80153,0.53893,0.41433,0.0088,0.000747342,0.000747342,0.000747342
41,6087.89,0.66242,0.46482,0.00685,0.88308,0.90337,0.92468,0.80851,0.51624,0.41075,0.0084,0.000730997,0.000730997,0.000730997
