variant,class_id,class_name,instances,ap50,ap50_95,mean_precision,mean_recall,mean_map50,mean_map50_95
clean,0,Kong,194,0.9215299158584344,0.8353181371801546,0.8923928312649949,0.9255671367066325,0.9385155117143903,0.8478067957040252
clean,1,Sanhuo,464,0.9546878922154058,0.8771714151452497,0.8923928312649949,0.9255671367066325,0.9385155117143903,0.8478067957040252
clean,2,Jizhuangxiang,118,0.9780872651641224,0.8890116218529632,0.8923928312649949,0.9255671367066325,0.9385155117143903,0.8478067957040252
clean,3,Caoguan,66,0.9552869875222818,0.8518563981800487,0.8923928312649949,0.9255671367066325,0.9385155117143903,0.8478067957040252
clean,4,Zhatu,55,0.8829854978117072,0.7856764061617093,0.8923928312649949,0.9255671367066325,0.9385155117143903,0.8478067957040252
low_light,0,Kong,194,0.9190915056200739,0.833291146029062,0.8972166581910074,0.9165145165129858,0.9377725834647836,0.8456241757165956
low_light,1,Sanhuo,464,0.9529674244822635,0.8743782358706158,0.8972166581910074,0.9165145165129858,0.9377725834647836,0.8456241757165956
low_light,2,Jizhuangxiang,118,0.9779013677927353,0.886983887103695,0.8972166581910074,0.9165145165129858,0.9377725834647836,0.8456241757165956
low_light,3,Caoguan,66,0.9582949864780527,0.8525522173591483,0.8972166581910074,0.9165145165129858,0.9377725834647836,0.8456241757165956
low_light,4,Zhatu,55,0.8806076329507935,0.7809153922204564,0.8972166581910074,0.9165145165129858,0.9377725834647836,0.8456241757165956
overexposure,0,Kong,194,0.7924445246009454,0.7038347927768719,0.8634999599022727,0.8337219528174977,0.8798047441749801,0.781336022605106
overexposure,1,Sanhuo,464,0.908501985303816,0.8266089921123374,0.8634999599022727,0.8337219528174977,0.8798047441749801,0.781336022605106
overexposure,2,Jizhuangxiang,118,0.9495847119493893,0.8479650508590761,0.8634999599022727,0.8337219528174977,0.8798047441749801,0.781336022605106
overexposure,3,Caoguan,66,0.9232789383685228,0.8113521008588668,0.8634999599022727,0.8337219528174977,0.8798047441749801,0.781336022605106
overexposure,4,Zhatu,55,0.8252135606522276,0.7169191764183785,0.8634999599022727,0.8337219528174977,0.8798047441749801,0.781336022605106
gaussian_blur,0,Kong,194,0.9088523471787567,0.8236334315221621,0.8987805651103933,0.9100485399050926,0.9337957858958174,0.8425752113288929
gaussian_blur,1,Sanhuo,464,0.948275879775352,0.8714069584662072,0.8987805651103933,0.9100485399050926,0.9337957858958174,0.8425752113288929
gaussian_blur,2,Jizhuangxiang,118,0.9781019867147223,0.887549024200575,0.8987805651103933,0.9100485399050926,0.9337957858958174,0.8425752113288929
gaussian_blur,3,Caoguan,66,0.9454259267581503,0.8422485031473487,0.8987805651103933,0.9100485399050926,0.9337957858958174,0.8425752113288929
gaussian_blur,4,Zhatu,55,0.8883227890521052,0.7880381393081716,0.8987805651103933,0.9100485399050926,0.9337957858958174,0.8425752113288929
jpeg,0,Kong,194,0.92345504409336,0.8370762973142405,0.9026228175987587,0.9195435142187268,0.938339455926123,0.8455467731525654
jpeg,1,Sanhuo,464,0.9551184197989384,0.8764602649525035,0.9026228175987587,0.9195435142187268,0.938339455926123,0.8455467731525654
jpeg,2,Jizhuangxiang,118,0.9780096295573082,0.8823125627531049,0.9026228175987587,0.9195435142187268,0.938339455926123,0.8455467731525654
jpeg,3,Caoguan,66,0.9507807774781853,0.847167792948494,0.9026228175987587,0.9195435142187268,0.938339455926123,0.8455467731525654
jpeg,4,Zhatu,55,0.8843334087028227,0.7847169477944844,0.9026228175987587,0.9195435142187268,0.938339455926123,0.8455467731525654
